ID Number,Event,
1,100 miles - Senior,
2,100 miles (2 day),
3,25 miles - Junior,
4,25 miles - Senior,
5,55 miles - Junior,
6,55 miles - Senior,
7,50 miles - Senior,
8,50 miles - Junior,
9,150 Miles (3 Days) Day 1,
10,75 miles - Senior,
11,35 miles - Junior,
12,35 miles - Senior,
13,80 miles - Senior,
14,80 miles - Junior,
15,75 miles - Junior,
16,30 miles - Senior
17,30 miles - Junior
18,25 miles - Completion only
19,50 miles - Completion Only
20,100 miles - Completion Only
21,Completion Only
22,Senior
23,Junior
24,Limited Distance - Junior
25,Limited Distance - Senior
26,100 miles - Junior
27,60 miles - Junior
28,60 miles - Senior
29,200 miles - 5 days
30,150 Miles (3 Days) Day 2
31,150 Miles (3 Days) Day 3
32,150 Miles Junior (Day 1)
33,150 Miles Junior (Day 2)
34,150 Miles Junior (Day 3)
35,5 Day - 260 Miles - Senior
36,5 Day - 260 Miles - Junior
37,Multi Day Ride - Senior
38,Multi Day Ride - Junior
39,100 mile FEI
40,70 miles FEI
41,Total Compiled Miles
42,50 miles FEI
43,75 miles FEI
